LSOA11CD,LSOA11NM,OID_,GOR_CODE,GOR_NAME,LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,LSOA_CODE,LSOA_NAME,LSOAAREA,TRACTTOTRA,LSOA_ID,CODE,OSODR,NUMBER,ROAD_NAME,METRES,INDICATOR,ID_ID,ROAD_ID,SCTRACTW,SCTRACTR
E01026419,Breckland 010A,42,E12000006,East of England,E07000143,Breckland,E02005512,Breckland 010,E01026419,Breckland 010A,26225212,1,1,3004,O166FK5U7L0TW,,SPIXWORTH ROAD,166,,21284,14684,400,1
E01026420,Breckland 010B,43,E12000006,East of England,E07000143,Breckland,E02005512,Breckland 010,E01026420,Breckland 010B,11144183,1,2,3004,O166FH9U73HAW,,THE PADDOCKS,579,,21948,15348,400,2
E01026421,Breckland 013A,57,E12000006,East of England,E07000143,Breckland,E02005515,Breckland 013,E01026421,Breckland 013A,21794504,1,3,3004,O166CH2U86QTW,,HARE ROAD,620,,21109,14509,400,3
E01026422,Breckland 011A,48,E12000006,East of England,E07000143,Breckland,E02005513,Breckland 011,E01026422,Breckland 011A,6467298,1,4,3004,O166DH3B7YJTW,,BROADLAND DRIVE,396,,21971,15371,400,4
E01026423,Breckland 011B,49,E12000006,East of England,E07000143,Breckland,E02005513,Breckland 011,E01026423,Breckland 011B,4286842,1,5,3004,O166MW1U1A3TW,,,1368,,18555,11955,400,5
E01026424,Breckland 012A,53,E12000006,East of England,E07000143,Breckland,E02005514,Breckland 012,E01026424,Breckland 012A,97619366,1,6,3004,O166MT7U2AMTW,,NORWICH ROAD,354,,18553,11953,400,6
E01026425,Breckland 005A,16,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026425,Breckland 005A,681418,1,7,3004,O166G2LB54JTW,,FAIRHOLME ROAD,327,,21786,15186,400,7
E01026426,Breckland 005B,17,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026426,Breckland 005B,1079099,1,8,3004,O166F9FU5TWAW,,BUXTON ROAD,68,,21990,15390,400,8
E01026427,Breckland 005C,18,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026427,Breckland 005C,2351307,1,9,3004,O166EQEB5YWAW,,GODFREY ROAD,64,,22050,15450,400,9
E01026428,Breckland 003A,8,E12000006,East of England,E07000143,Breckland,E02005505,Breckland 003,E01026428,Breckland 003A,3739765,1,10,3004,O166F81B5WFAW,,BUXTON ROAD,315,,21187,14587,400,10
E01026429,Breckland 003B,9,E12000006,East of England,E07000143,Breckland,E02005505,Breckland 003,E01026429,Breckland 003B,304099,1,11,3004,O166EURB7CQAW,,CHURCH LANE,373,,21778,15178,400,11
E01026430,Breckland 003C,10,E12000006,East of England,E07000143,Breckland,E02005505,Breckland 003,E01026430,Breckland 003C,10522791,1,12,3004,O166EURB7CQAW,,CHURCH LANE,373,,21778,15178,400,12
E01026431,Breckland 003D,11,E12000006,East of England,E07000143,Breckland,E02005505,Breckland 003,E01026431,Breckland 003D,878899,1,13,3004,O166F01U7GRAW,,COZENS-HARDY ROAD,113,,21399,14799,400,13
E01026432,Breckland 005D,19,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026432,Breckland 005D,480958,1,14,3001,O166F47U7WTTW,A1151,WROXHAM ROAD,207,,7842,1242,400,14
E01026433,Breckland 005E,20,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026433,Breckland 005E,566456,1,15,3004,O166ENLB7TQTW,,TIERCEL AVENUE,273,,21368,14768,400,15
E01026434,Breckland 005F,21,E12000006,East of England,E07000143,Breckland,E02005507,Breckland 005,E01026434,Breckland 005F,907276,1,16,3004,O166DJDU7QVTW,,SALHOUSE ROAD,2359,,21736,15136,400,16
E01026435,Breckland 013B,58,E12000006,East of England,E07000143,Breckland,E02005515,Breckland 013,E01026435,Breckland 013B,47609446,1,17,3004,O166ENCB890AW,,CIRRUS WAY,173,,21346,14746,400,17
E01026436,Breckland 001A,0,E12000006,East of England,E07000143,Breckland,E02005503,Breckland 001,E01026436,Breckland 001A,33176861,1,18,3004,O166EGUB87XAW,,SALHOUSE ROAD,148,,21340,14740,400,18
E01026437,Breckland 008A,32,E12000006,East of England,E07000143,Breckland,E02005510,Breckland 008,E01026437,Breckland 008A,8511855,1,19,3001,O166EM1B7H1AW,A1151,WROXHAM ROAD,160,,7949,1349,400,19
