FID_,FIPSSTCO,TRT2000,STFID,OID_,LSOA11CD,FIPSPLACEW,CENSUSPLW,LSOA_CODE,FIPSPLACER,CENSUCPLR,TRACTTOTRA,STFID_1,ID_ID,Distance
,11001,902,11001000902,263,E01026419,79952,1252,E01026855,50000,5,4,11001000902,1,0.001789
,11001,901,11001000901,1391,E01026420,79952,1252,E01026553,50000,5,4,11001000901,2,0.008338
,11001,1001,11001001001,2,E01026421,48376,772,E01026552,50000,5,4,11001001001,3,0.004716
,11001,1100,11001001100,2138,E01026422,79952,1252,E01026551,50000,5,15,11001001100,4,0.005623
,11001,801,11001000801,1,E01026423,48376,772,E01026805,50000,5,10,11001000801,5,0.011281
,11001,1401,11001001401,744,E01026424,79952,1252,E01026719,50000,5,4,11001001401,6,0.004588
,11001,1002,11001001002,743,E01026425,79952,1252,E01026722,50000,5,10,11001001002,7,0.00375
,11001,1402,11001001402,2143,E01026426,79952,1252,E01026724,50000,5,35,11001001402,8,0.000624
,11001,1200,11001001200,2139,E01026427,79952,1252,E01026738,50000,5,40,11001001200,9,0.004953
,11001,1302,11001001302,1393,E01026428,79952,1252,E01026720,50000,5,20,11001001302,10,0.004811
,11001,701,11001000701,739,E01026429,79952,1252,E01026721,50000,5,4,11001000701,11,0.001201
,11001,600,11001000600,2131,E01026430,79952,1252,E01026723,50000,5,25,11001000600,12,0.00637
,11001,702,11001000702,0,E01026431,48376,772,E01026739,50000,5,4,11001000702,13,0.004621
,11001,300,11001000300,261,E01026432,79952,1252,E01026800,50000,5,4,11001000300,14,0.004583
,11001,1803,11001001803,1395,E01026433,79952,1252,E01026642,50000,5,10,11001001803,15,0.003159
,11001,1701,11001001701,1394,E01026434,79952,1252,E01026616,50000,5,25,11001001701,16,0.002298
,11001,1804,11001001804,2148,E01026435,79952,1252,E01026709,50000,5,15,11001001804,17,0.002925
,11001,1901,11001001901,4,E01026436,48376,772,E01026715,50000,5,4,11001001901,18,0.004068
,11001,1301,11001001301,3,E01026437,48376,772,E01026717,50000,5,10,11001001301,19,0.007409
,11001,1500,11001001500,745,E01026438,79952,1252,E01026753,50000,5,20,11001001500,20,0.011925
,11001,2001,11001002001,2150,E01026439,79952,1252,E01026761,50000,5,4,11001002001,21,0.000394
,11001,2600,11001002600,267,E01026440,79952,1252,E01026711,50000,5,4,11001002600,22,0.006092
,11001,501,11001000501,738,E01026441,79952,1252,E01026714,50000,5,4,11001000501,23,0.001245
,11001,4100,11001004100,271,E01026442,79952,1252,E01026754,50000,5,10,11001004100,24,0.001871
,11001,4001,11001004001,749,E01026443,79952,1252,E01026713,50000,5,4,11001004001,25,0.002562
,11001,4002,11001004002,750,E01026444,79952,1252,E01026756,50000,5,4,11001004002,26,0.003131
,11001,4202,11001004202,1406,E01026445,79952,1252,E01026716,50000,5,4,11001004202,27,0.002197
,11001,2701,11001002701,268,E01026446,79952,1252,E01026718,50000,5,10,11001002701,28,0.005028
